agent,episode,total_reward,survival_steps,off_track_pct,avg_speed,tiles_visited_pct
Random Baseline,1,-118.73,2000,1.2,0.0222,0.0
Random Baseline,2,-127.39,2000,14.35,0.0246,0.0
Random Baseline,3,-136.96,2000,10.55,0.025,0.0
Random Baseline,4,-133.12,2000,8.25,0.0239,0.0
Random Baseline,5,-134.64,2000,24.95,0.0246,0.0
Random Baseline,6,-124.91,2000,1.2,0.0229,0.0
Random Baseline,7,-123.36,2000,22.1,0.0258,0.0
Random Baseline,8,-135.78,2000,13.1,0.0255,0.0
Random Baseline,9,-127.84,2000,28.1,0.0252,0.0
Random Baseline,10,-129.29,2000,16.1,0.0259,0.0
Cautious (My Sister),1,757.6,2000,7.5,0.1819,84.18
Cautious (My Sister),2,757.1,2000,5.75,0.1998,84.12
Cautious (My Sister),3,410.32,2000,39.0,0.2039,45.59
Cautious (My Sister),4,471.97,2000,9.4,0.1768,52.44
Cautious (My Sister),5,747.71,2000,8.6,0.2021,83.08
Cautious (My Sister),6,-52.82,519,75.92,0.1839,0.0
Cautious (My Sister),7,875.6,1244,3.38,0.1954,97.29
Cautious (My Sister),8,604.28,2000,13.5,0.218,67.14
Cautious (My Sister),9,866.6,1334,1.65,0.2201,96.29
Cautious (My Sister),10,869.3,1307,2.22,0.2121,96.59
Max Verstappen,1,768.2,2000,5.65,0.1453,85.36
Max Verstappen,2,763.7,2000,6.0,0.1442,84.86
Max Verstappen,3,381.66,2000,25.7,0.1608,42.41
Max Verstappen,4,774.52,2000,5.1,0.138,86.06
Max Verstappen,5,528.76,2000,27.25,0.1496,58.75
Max Verstappen,6,-51.32,504,75.6,0.1893,0.0
Max Verstappen,7,856.6,1434,1.53,0.1546,95.18
Max Verstappen,8,108.17,1008,44.94,0.16,12.02
Max Verstappen,9,830.3,1697,1.3,0.1373,92.26
Max Verstappen,10,826.2,1738,2.07,0.1575,91.8
Traction Focused,1,757.6,2000,13.55,0.1935,84.18
Traction Focused,2,757.1,2000,5.35,0.2047,84.12
Traction Focused,3,585.1,2000,21.45,0.2026,65.01
Traction Focused,4,747.71,2000,9.3,0.2115,83.08
Traction Focused,5,-40.75,603,70.32,0.2066,0.0
Traction Focused,6,864.4,1356,3.24,0.2202,96.04
Traction Focused,7,108.01,979,45.45,0.215,12.0
Traction Focused,8,853.1,1469,1.5,0.229,94.79
Traction Focused,9,850.6,1494,1.94,0.2177,94.51
MotoGP,1,754.06,2000,7.85,0.1596,83.78
MotoGP,2,753.8,2000,10.75,0.1661,83.76
MotoGP,3,266.51,1121,40.14,0.1706,29.61
MotoGP,4,771.34,2000,5.5,0.1642,85.7
MotoGP,5,741.18,2000,7.3,0.1684,82.35
MotoGP,6,192.49,2000,59.5,0.1709,21.39
MotoGP,7,880.5,1195,2.43,0.1672,97.83
MotoGP,8,92.51,1134,63.67,0.1678,10.28
MotoGP,9,887.2,1128,3.1,0.1847,98.58
MotoGP,10,875.4,1246,2.25,0.1797,97.27
Rain Rider,1,747.0,2000,10.55,0.1524,83.0
Rain Rider,2,747.19,2000,7.1,0.1824,83.02
Rain Rider,3,430.37,2000,40.55,0.1683,47.82
Rain Rider,4,768.15,2000,6.2,0.1571,85.35
Rain Rider,5,407.81,1949,43.46,0.1703,45.31
Rain Rider,6,-51.77,645,70.54,0.1958,0.0
Rain Rider,7,877.2,1228,2.12,0.1707,97.47
Rain Rider,8,628.75,2000,9.45,0.1868,69.86
Rain Rider,9,871.9,1281,2.97,0.1813,96.88
Rain Rider,10,806.2,1938,3.1,0.1843,89.58
Line Hunter,1,736.4,2000,12.85,0.1783,81.82
Line Hunter,2,717.49,2000,12.9,0.1756,79.72
Line Hunter,3,436.1,2000,37.35,0.1715,48.46
Line Hunter,4,761.78,2000,12.1,0.1671,84.64
Line Hunter,5,356.72,1839,28.22,0.1802,39.64
Line Hunter,6,165.19,2000,60.9,0.1664,18.35
Line Hunter,7,592.05,2000,9.85,0.1833,65.78
Line Hunter,8,825.1,1749,3.26,0.1813,91.68
Line Hunter,9,834.9,1651,6.84,0.1586,92.77
